Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Originalspeciesprovided,Core,Control,Treatment,Percentchange,Log2fold.change,All.Logs,Type,Sig,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,N,0.0037,0,-1.0000000000,,-50,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Actinobacteria,,Actinomycetales,Propionibacteriaceae,Cutibacterium,,,N,0.0011,0,-1.0000000000,,-50,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,N,0.0016,0,-1.0000000000,,-50,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,0.001,0,-1.0000000000,,-50,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus,,,N,0.0009,0,-1.0000000000,,-50,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,N,0,0.0016,#DIV/0!,,50,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,,,N,0,0.001,#DIV/0!,,50,Comp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,0,1.44,#DIV/0!,,50,Comp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0,0.46,#DIV/0!,,50,Comp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,0,1.436666667,#DIV/0!,,50,Comp,All,,,,
Jones et al ,2018,Fig. 2,Thiamethoxam,Insecticide,"No exact time provided, ~44 days",Hives placed adjacent to crops with OSR,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,,N,6.417322835,0,-1.0000000000,,-50,Comp,All,,,,
Liu et al ,2019,Fig. S3F,Thiacloprid,Insecticide,13 days,2.0 mg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bombella,Bombella apis,,N,25283950.62,0,-1.0000000000,,-50,Noncomp,All,,,,
Liu et al ,2019,Fig. S3E,Thiacloprid,Insecticide,7 days,0.6 mg/L,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,11158536.59,0,-1.0000000000,,-50,Noncomp,All,,,,
Motta and Moran,2020,Fig. S1E,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,Y,0.176100629,0,-1.0000000000,,-50,Comp,All,,,,
Motta and Moran,2020,Fig. S1Q,Glyphosate,Herbicide,5 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,0,-1.0000000000,,-50,Comp,All,,,,
Motta and Moran,2020,Fig. S1Q,Glyphosate,Herbicide,5 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,6.59E-15,0,-1.0000000000,,-50,Comp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,10 days,0.01mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,0.330275229,#DIV/0!,,50,Comp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,10 days,0.04mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,1.431192661,#DIV/0!,,50,Comp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,10 days,0.07mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,1.871559633,#DIV/0!,,50,Comp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,10 days,0.1mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,0.330275229,#DIV/0!,,50,Comp,All,,,,
Motta and Moran,2020,Fig. S1H,Glyphosate,Herbicide,10 days,1.0mM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,,,N,0,0.440366972,#DIV/0!,,50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,,N,6.7,0,-1.0000000000,,-50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,,,,,N,3.3,0,-1.0000000000,,-50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,,,,,,unclassified Bacteria,,Y,0,6.7,#DIV/0!,,50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Firmicutes,,,,,unclassified Firmicutes,,Y,0,6.7,#DIV/0!,,50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Gammaproteobacteria,,,,unclassified Gammaproteobacteria,,Y,0,13.3,#DIV/0!,,50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,unclassified Lactobacillales,,Y,0,3.3,#DIV/0!,,50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,,,,,unclassified Proteobacteria,,Y,0,3.3,#DIV/0!,,50,Comp,All,,,,
Nogrado et al ,2019,Fig. 1,Carbaryl powder,Insecticide,2 hours,250 g.a.i./ha in 400L tap water/ha,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,,,,,Y,0,6.7,#DIV/0!,,50,Comp,All,,,,
Paris et al ,2020,Fig. S5,Boscalid,Fungicide,17 days,100 µg/L,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,,N,0,0.636267232,#DIV/0!,,50,Comp,All,,,,
Paris et al ,2020,Fig. S5,Thiamethoxam,Insecticide,17 days,1.5 µg/L,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,,N,0,0.84835631,#DIV/0!,,50,Comp,All,,,,
Raymann et al,2018,Fig. S1A,Imidacloprid,Insecticide,3 days,500 µg/L,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,,,N,0.000266272,0.00E+00,-1.0000000000,,-50,Comp,All,,,,
