Author,Year,Data Source,Pesticide,Pesttype,Duration,Concentration,Kingdom,Phylum,Class,Order,Family,Genus,Species,Original Species Provided,Core,Control,Treatment,Percent Change,Log2fold.change,All.Logs,result,Type,Sig,Extra Information About Effect Size,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,N,0.0037,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Actinobacteria,,Actinomycetales,Propionibacteriaceae,Cutibacterium,,,N,0.0011,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,N,0.0016,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,,,N,0.001,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus,,,N,0.0009,0,-1.0000000000,,-50,Decrease,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,N,0,0.0016,#DIV/0!,,50,Increase,Comp,All,,,,
Botina et al ,2019,Fig. 4,Spinosad,Insecticide,24 hours,0.81 µg a.i./mL,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,,,N,0,0.001,#DIV/0!,,50,Increase,Comp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,N,0,1.44,#DIV/0!,,50,Increase,Comp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Giliamella apicola,,Y,0,0.46,#DIV/0!,,50,Increase,Comp,All,,,,
DeGrandi Hoffman et al,2017,Fig. 1,Pristine,Fungicide,21 days,"11,410 ppb",Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,,Y,0,1.436666667,#DIV/0!,,50,Increase,Comp,All,,,,
